Episode,Mean
9,634.5270182291666
19,623.5744832356771
29,531.7742207845052
39,840.7899780273438
49,1003.8657633463541
59,173.09688822428384
69,790.7768859863281
79,701.5674235026041
89,458.9946746826172
99,955.9512329101562
109,499.60213470458984
119,1026.5638809204102
129,517.5276997884115
139,831.99951171875
149,977.5790608723959
159,934.1766357421875
169,649.7490030924479
179,683.6332804361979
189,766.8228352864584
199,696.8139444986979
209,496.33583577473956
219,576.0414403279623
229,386.67523193359375
239,873.0173645019531
249,619.1151733398438
259,548.3739420572916
269,935.6046549479166
279,443.12469482421875
289,1294.938700358073
299,960.2355143229166
309,732.2145589192709
319,535.6995340983073
329,479.95884195963544
339,1043.9621022542317
349,757.9155069986979
359,914.1444295247396
369,520.3662872314453
379,966.0986531575521
389,1217.3907063802083
399,352.24267578125
