Episode,Reward
9,300.88087463378906
19,210.299560546875
29,239.44122314453125
39,271.4700698852539
49,240.90171813964844
59,240.57830810546875
69,165.4971160888672
79,195.94840240478516
89,232.37417602539062
99,258.5668029785156
109,178.88284301757812
119,223.40786743164062
129,182.87495803833008
139,269.3827438354492
149,142.8225440979004
159,183.44506072998047
169,183.30191040039062
179,318.0736846923828
189,238.7791061401367
199,196.03013610839844
209,236.53690338134766
219,132.24068069458008
229,238.49443817138672
239,137.833984375
249,296.5120849609375
259,207.22248077392578
269,156.07312393188477
279,128.51605606079102
289,250.1880340576172
299,413.59022521972656
309,187.4985809326172
319,206.75930786132812
329,149.15349578857422
339,156.67938232421875
349,248.5117950439453
359,212.2571792602539
369,251.88418579101562
379,251.03591918945312
389,253.92577362060547
399,218.43852996826172
