Episode,Mean
9,2759.027587890625
19,2769.1248779296875
29,2581.0921630859375
39,2383.480712890625
49,2245.2376708984375
59,2303.5327758789062
69,3347.1507568359375
79,2801.21728515625
89,2873.2845458984375
99,2493.3516845703125
109,3165.6749267578125
119,3102.4686279296875
129,3308.0418701171875
139,2764.949951171875
149,2513.779296875
159,2788.1513671875
169,3200.0709228515625
179,2792.31103515625
189,2952.5274658203125
199,2316.7327270507812
209,2251.7216186523438
219,2768.8599853515625
229,2391.4818115234375
239,2767.5552978515625
249,2513.0140380859375
259,3036.74755859375
269,2643.4898681640625
279,2968.0380859375
289,3291.4332275390625
299,2868.3150634765625
309,2599.5084228515625
319,3035.9888916015625
329,3310.1029052734375
339,3190.911376953125
349,3461.9119873046875
359,2656.6533203125
369,3144.177734375
379,2532.219482421875
389,2967.1895751953125
399,2800.303955078125
