Episode,Reward
9,1493.8056640625
19,1507.9226684570312
29,1605.5799560546875
39,1176.9016723632812
49,2020.328369140625
59,1926.6773681640625
69,1083.6818237304688
79,1857.4144287109375
89,1770.6746826171875
99,1759.2105712890625
109,1853.0072631835938
119,1502.3792114257812
129,1558.5296020507812
139,1857.9755859375
149,1779.4595947265625
159,1513.3538818359375
169,1520.758056640625
179,1528.6381225585938
189,1372.1937866210938
199,1019.5440673828125
209,1909.2171020507812
219,1850.9703369140625
229,1466.2825317382812
239,1156.122314453125
249,1922.3930053710938
259,1660.0800170898438
269,2160.556884765625
279,2217.5355224609375
289,1192.8099365234375
299,1983.9885864257812
309,1566.845703125
319,1574.97607421875
329,1379.9324951171875
339,1354.8500366210938
349,2158.4308471679688
359,1566.6702270507812
369,1283.5875244140625
379,1388.8746337890625
389,1643.9176635742188
399,1712.8507080078125
