Episode,Reward
9,254.60947189331054
19,103.02570991516113
29,479.73029432296755
39,182.13285751342772
49,1347.0509949684142
59,165.89405555725097
69,106.6172538280487
79,1132.161930847168
89,1642.8818496704102
99,544.6928109169006
109,1702.185245513916
119,488.8819805145264
129,2280.843983459473
139,4098.435604858399
149,8478.59563140869
159,2330.270805454254
169,3737.2892883300783
179,6391.309746932983
189,4520.958650970459
199,1946.1488128662108
209,2501.7216796875
219,3890.36796875
229,3949.81033782959
239,2368.8462097167967
249,3590.938757324219
259,4497.058312988282
269,3425.7081320762636
279,2419.101340484619
289,1877.9117059707642
299,1401.2616876125335
309,2714.3225860595703
319,3299.4181587219236
329,3805.345474243164
339,2644.9754627227785
349,2727.1950299739838
359,2994.6668014526367
369,1726.5896774291991
379,2350.8862182617186
389,3612.815221786499
399,4645.592303466797
